Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	Br Wt%	Rb Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
48		PD03_02	PM2.5	1.117449469	1.192803778	4.142481576	1.22203435	56	12.61812001	3.789370134	3.760232031		0.610324834	10.15158519			15.19298106	21.20526135	20.8052963	0	3.080338053	4.888014495	3.898486495
50		PD03_02	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	25	34.11912918	0	26.28570199		0.030500768	0.049045053			0	0	15.6057775	0	6.849963963	13.19500059	3.864880651
47		PD03_02	PM10	6.592951867	2.89731031	12.95253482	2.024975475	240	69.29079294	0	2.093060873		7.666240633	1.04521187			2.047400735	0	0	6.345833838	0	0	11.51147038
51		PD03_02	PM10	15.30905773	4.414985582	18.73399078	1.824325295	588	44.81962323	3.15704532	14.90087509	19.98758167	0	7.491922379			0	0	2.379505709	0	0	5.845892429	1.417552121
52		PD03_02	PM2.5	2.346643885	1.728536893	5.595808581	1.061863389	128	49.47952926	0	7.597509772		12.98604161	0			10.37332416	17.79394746	1.769647747	0	0	0	0
54		PD03_02	PM2.5	1.340939363	1.306651072	4.96196877	1.461130645	84	63.31017613	0	7.525804639		1.987822726	4.83357273			1.870121993	7.46820122	3.635182604	0	0	9.369115531	0
57		PD03_02	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	27	64.36840892	26.43946409	0		6.582358479	0.064017595			0.229106378	0.245812512	0.276679848	0.314457063	0.38344725	0.48103258	0.615207292
55		PD03_02	PM2.5	2.011409044	1.600314199	5.224513816	1.079894928	68	59.96574759	0	8.323120326		9.983540326	0			2.09831167	6.494946033	7.128289342	0	0	0	6.006044149
58		PD03_02	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	16	26.6261518	0	0		51.2522459	0			4.015554115	7.197293639	0	0	0	10.90875864	0
56		PD03_02	PM2.5	1.117449469	1.192803778	4.96196877	1.753356774	41	91.6324079	0	0		7.775960863	0.019663546			0.310662761	0.261305878	0	0	0	0	0
