Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	Be Wt%	O Wt%	F Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	Ca Wt%	Br Wt%	Mo Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
13		CM01_03	PM10	6.592951867	2.89731031	10.07773287	1.225846003	211		44.27230358	11.35814041	12.38613501			0	0.321026356			4.218563437	13.36268932	0.415802887	0	3.130525351	0.946460385	9.588342905
20		CM01_03	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	85		47.26489186	21.62262797	0			0.022648396	0.038183032			0	0	0	0	31.05165064	0	0
22		CM01_03	PM10	21.45502981	5.226604288	26.12256908	2.531003737	542		64.96136785	0	0			0.144320761	9.43948105			0	0	0	2.83671394	0	0	22.61812389
23		CM01_03	PM2.5	1.564429257	1.411344463	4.513776341	1.036368677	48		28.91602218	0	0.00402556			2.930453792	0.818489585			1.22186942	8.039447665	20.29008716	13.19748163	4.349305853	15.53318799	4.699626192
21		CM01_03	PM10	13.07415879	4.080016665	15.59664378	1.480603212	363		57.91130066	2.476075292	7.98144564	13.25027049		0	4.014712945			0	1.765687019	5.094077438	0	3.149884939	0	4.356525838
24		CM01_03	PM2.5	3.911073142	2.231531534	8.022418106	1.30949783	131		31.98206127	0	1.110772882			8.278154582	1.977080293			0	2.419621311	16.36939049	23.99260104	0	9.650761634	4.219563678
25		CM01_03	PM2.5	0.446979788	0.754395348	2.689154571	1.287460114	33		6.504011154	0	0.009412906			0.010833368	21.38406783			0	0	0	0	2.685611695	2.656308003	66.74975753
27		CM01_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	35		72.4696517	0	0			0.019442133	0			0	0	0	0	27.51090527	0	0
29		CM01_03	PM10	33.52348407	6.53325536	38.25561671	3.474012707	757		87.56420016	0	8.354012668			0.041566929	0.871769525			0	0	0	0	3.168455139	0	0
28		CM01_03	PM10	14.41509815	4.284142039	14.70025893	1.192950712	367		46.27164602	18.20781082	3.78125757			4.858527705	1.996700093			0	8.094543219	8.136813343	0	8.65271315	0	0
33		CM01_03	PM2.5	0.893959575	1.066876133	4.142481576	1.527542937	44		49.33516085	31.38082325	11.13483161			0.137182302	0			1.391893346	2.519903332	0	0	0	4.100205377	0
34		CM01_03	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	38		13.48583251	31.80312812	7.905480266			0	3.171994165			0	0	0	0	35.77088714	0	7.862683386
35		CM01_03	PM2.5	1.676174204	1.46088031	4.699423723	1.048480103	47		12.0720394	13.60488981	13.42549771			0.119179138	2.04187464			0	0.052534649	1.131627709	0.295082526	4.417071491	0	52.84020901
37		CM01_03	PM10	11.28623964	3.790789709	13.50947697	1.286820406	472		49.05197024	0	0.798440352	43.23250949		0	0			0	0	1.558631752	0	0	0	5.358446762
38		CM01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	17		69.80081201	0	5.875665322			0.072601187	0.124695559			0	17.38182008	1.321490668	0	0	0	5.422905833
40		CM01_03	PM2.5	2.011409044	1.600314199	5.147616152	1.048339735	40		38.10814917	36.9909972	0.252405042			1.158264	23.16820621			0	0	0.043536225	0.049286417	0.059709186	0.074530137	0.094933825
44		CM01_03	PM10	6.704696814	2.92176062	9.738290157	1.125580117	218		68.42668653	3.476961702	0			1.523187477	11.04487851			1.514735445	4.488629475	3.939510137	4.758797958	0.826623291	0	0
45		CM01_03	PM2.5	1.117449469	1.192803778	4.065583912	1.177085747	62		67.35248566	23.36651087	0			0	0.78601921			0	0	0	0	8.494986594	0	0
46		CM01_03	PM2.5	2.123153991	1.644166543	5.224513816	1.023058353	87		54.1476965	28.04917693	4.070926458			5.195267498	0			0	0	0	0	0	2.791996673	5.744931847
48		CM01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	8		18.77110004	3.355780616	0.023538548			0.010558866	9.631601721			1.270868722	45.79931796	18.73939931	0	0	0	2.39784345
47		CM01_03	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	22		76.76032186	0	16.01520181			0.043092898	4.110647365			0.277147815	0.297118071	0.33420024	0.379582192	0.462369714	0.579573773	0.740733137
49		CM01_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	4		69.04591918	0	0			0.446862867	0.762658846			2.679792978	2.874985337	3.223373741	3.668268397	4.479372501	5.625648797	7.193121314
51		CM01_03	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	18		29.54997122	14.24907148	0.071813416			3.514716402	0.623452431			0	0	28.09836566	23.89261276	0	0	0
50		CM01_03	PM2.5	0.335234841	0.653325536	2.240962143	1.192092698	40		78.50472331	0	0			7.480765879	13.20368797			0.119978073	0.073920004	0.083046179	0.094143319	0.114328298	0.142985617	0.182417303
54		CM01_03	PM2.5	0.782214628	0.997971241	3.694289147	1.388436336	40		44.92380917	53.85100842	0			0.398424966	0			0	0.82675647	0	0	0	0	0
53		CM01_03	PM2.5	0.670469681	0.923941834	2.874801954	0.980904789	32		28.9203763	0	0			0	1.730180718			2.078508772	0	0	2.991428785	54.49684262	0	9.782668203
55		CM01_03	PM2.5	0.446979788	0.754395348	2.612256908	1.214881794	27		50.42027235	1.876883395	5.161225051			11.47855818	0.022260733			3.157355636	0	0	27.88345218	0	0	0
59		CM01_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	19		7.22258836	0.007424215	1.209425554			0	0.014837612			3.702620417	18.90097857	22.37733752	35.31955779	0	0.843894575	10.4013361
57		CM01_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	20		73.33035469	0	13.64932209			0.064656057	11.41004562			0.501887454	0.45887907	0	0.584851112	0	0	0
