Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Si Wt%	Cl Wt%	Ca Wt%	Ti Wt%	Fe Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
124		PD02_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	42	10.05792767	0		0		0.006994649	0.010114526			0.867757387	0	0	1.738061383	0	6.144607067	81.17454648
125		PD02_01	PM2.5	0.446979788	0.754395348	2.79790429	1.393695698	28	0	0		57.68889785		37.14923859	0.180490164			0.605402142	0.644334266	0.72015617	0.812978018	0.979769602	1.218728442	0
126		PD02_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	42	44.11441088	0		16.83769971		0.006249726	0			10.27548015	28.76616418	0	0	0	0	0
128		PD02_01	PM2.5	2.234898938	1.68687928	8.284963152	2.4440687	94	78.64120007	0		0		0	0			0	0	0	21.35879397	0	0	0
129		PD02_01	PM2.5	3.687583248	2.166835669	7.311680631	1.153673002	140	35.70467234	6.565264612		18.05574149		1.717677154	1.872377098			0	0	5.998052284	25.00321865	5.082989112	0	0
130		PD02_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	17	53.55218053	0		0		0.122390315	43.42958331			0.437471038	0.267336564	0.298896595	0.33740683	0.406833133	0.505828857	0.642065564
132		PD02_01	PM2.5	0.670469681	0.923941834	3.246096719	1.250644575	31	74.31257963	23.25805277		0		0.019982354	1.003092155			0	0	0	1.12856105	0	0.277735619	0
131		PD02_01	PM2.5	1.78791915	1.508790696	5.224513816	1.214881794	75	39.09266293	3.195863217		3.489622101		3.106977232	2.327114716			17.86714196	3.388272598	0	2.660329081	0.365670514	0	24.50635284
134		PD02_01	PM2.5	1.899664097	1.555225852	5.224513816	1.143418159	66	33.21352303	0		0		2.000981756	15.92206657			1.060764492	4.785746336	9.865465015	21.32125199	0	9.14125815	2.688943967
133		PD02_01	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	43	49.79619682	10.00311822		9.649947286		0.011229527	22.42515981			4.864851385	1.775202714	0.272487686	0.880153663	0.124052761	0	0.197604927
136		PD02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	18	0	30.31601906		5.432241037		0	54.25319672			0.357797323	0	0	0.766785722	8.167100698	0.706845662	0
135		PD02_01	PM2.5	1.564429257	1.411344463	4.513776341	1.036368677	68	53.15531492	0		7.628809661		0.005146195	2.398544922			23.71634096	13.0958423	0	0	0	0	0
139		PD02_01	PM2.5	2.570133779	1.808976496	6.044001009	1.13105432	94	31.44946694	21.91406786		0		3.170956671	5.413090065			0	1.935418509	0	10.68993062	2.021842077	17.60411114	5.801109597
141		PD02_01	PM2.5	4.469797876	2.385607556	7.836770723	1.093393614	202	47.25952744	9.514963627		18.19421202		0.439535361	1.060246304			0	0	0	0	2.959294245	8.932396024	11.63982302
143		PD02_01	PM2.5	4.581542823	2.415243569	8.022418106	1.117864001	113	66.39486551	0		0.237617712		0	13.75524551			8.125973493	0	0	4.117172584	7.369120419	0	0
140		PD02_01	PM10	38.99898647	7.046634074	23.58720983	1.135245938	1527	43.83677542	0	7.982621342	8.469176292	29.98769879	0.587935559	0.666600699			1.78540647	1.539371349	0	0	3.546491265	1.597908884	0
142		PD02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	24	58.97913575	27.88278461		0		0.041046485	1.92795936			7.991019636	3.178045899	0	0	0	0	0
145		PD02_01	PM10	19.22013087	4.946901118	16.94122107	1.188292114	587	74.71030951	2.772781812		7.444620878		0	10.81349105			0.263068546	0	0	0	0	0	3.995729238
147		PD02_01	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	29	74.61030483	0		2.676678821		0.029688014	0.700706383			11.54355109	10.43906361	0	0	0	0	0
146		PD02_01	PM10	6.369461974	2.847779989	9.923937539	1.230425806	168	55.60618639	0		3.234564513		0.813060254	29.05047238			4.457647353	0	0	0	6.838075072	0	0
148		PD02_01	PM2.5	1.899664097	1.555225852	4.96196877	1.031386338	81	49.71415997	0		0		0	0			0	0	8.812362701	11.05113328	0	0	30.42235672
150		PD02_01	PM2.5	0.893959575	1.066876133	3.508641765	1.095847984	43	32.13453293	0		4.05250527		2.28323359	0.071083329			0.234496151	0	0	0	0	61.22415066	0
151		PD02_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	32	58.14963579	12.12520152		13.52790892		0	2.844414115			0.310084037	0.199912488	0	0	0	12.84283549	0
149		PD02_01	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	31	11.055886	8.133724332		0		0.014195817	78.80459428			0.906914286	0.264265807	0	0.148510654	0.177402643	0.218768604	0.275734882
152		PD02_01	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	20	94.63834763	2.288170904		0		0	0.074359128			0.268578529	0.288570649	0.325063267	0.369960256	0.452067237	0.56785848	0.727024395
153		PD02_01	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	25	34.45015848	2.424893901		6.920084357		0.050790003	3.72793898			0	0	0	1.48294922	1.833868027	0	49.10930991
154		PD02_01	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	9	21.9707191	0		0		0.011086502	1.999601535			11.89988256	54.01114821	9.076325595	0	0	0	1.031240541
