Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
100		WN03_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	5	81.64970875	0		0		3.387940675		0.631127832	2.262961492	2.433707565	2.738239989	3.107606061	3.788707033	0	0
102		WN03_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	4	78.56446505	0		0		0.299651595		0.52208947	1.851336844	1.987992041	2.232016809	2.541692927	3.106437437	3.902125359	4.992196336
101		WN03_03	PM2.5	4.581542823	2.415243569	8.918802963	1.381629268	168	28.39234769	0.021999239		7.966658473	15.75049758	0		0.82587311	0	2.326498367	20.53165734	3.666407242	7.42848888	9.026382118	4.063185304
103		WN03_03	PM2.5	1.005704522	1.131593022	3.431744101	0.931857543	39	0	25.79299808		1.467637904		0.106170843		3.678431734	36.32778227	32.62698948	0	0	0	0	0
105		WN03_03	PM2.5	1.676174204	1.46088031	4.96196877	1.168904516	69	29.16055322	2.890780568		1.863124222		0		2.752144448	0	0	0	0	0	56.40279055	6.930606067
104		WN03_03	PM2.5	2.458388832	1.769213915	6.120898673	1.212746254	70	74.90311265	10.15511379		0		3.038399853		0	8.559112251	3.132778406	0	0.211488176	0	0	0
106		WN03_03	PM10	8.939595752	3.373758561	12.42744473	1.374788644	314	37.03477383	22.70666212		0		4.848320782		3.379778937	0	0	7.572308183	7.906483114	8.072177321	4.87312898	3.606368229
107		WN03_03	PM2.5	1.117449469	1.192803778	3.694289147	0.971905435	36	68.17221642	0		1.538357791		0		29.11796868	0.289841997	0.095030741	0.10653371	0.120532792	0.145903497	0.181981979	0.23162975
110		WN03_03	PM2.5	2.90536862	1.923338301	8.361860816	1.915114583	128	0	26.24863386		0		3.799375147		0.227324571	0	0	19.34913099	21.87704593	15.5210346	7.621685416	5.355765298
111		WN03_03	PM2.5	3.687583248	2.166835669	9.290097728	1.862468207	155	22.69220054	0		3.078569472		0		4.011353105	26.48538947	15.7115072	6.866333634	20.46824098	0	0	0.686412631
113		WN03_03	PM2.5	0.670469681	0.923941834	3.694289147	1.619842392	48	26.60151422	0		0		14.59150016		8.775616437	0.878148712	1.009824965	5.264459178	7.203666121	11.02070808	0	24.65457022
