Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Mg Wt%	Al Wt%	Si Wt%	S Wt%	Cl Wt%	K Wt%	Ca Wt%	Fe Wt%	Br Wt%	Rb Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%
166		OC01_02	PM10	6.14597208	2.79737282	10.52592529	1.434564633	155	39.49571252	20.53284943		3.071314842			6.798841804		0.113218918				4.872145504	3.838334978	4.302299768	7.059262693	9.91601944	0	0
169		OC01_02	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	31	51.12034678	0		0			0		0.555060571				0	0	0	5.914660916	29.92139161	0	12.48853579
171		OC01_02	PM2.5	0.558724735	0.84343964	2.612256908	0.971905435	21	0	0		0			0		0				1.405977365	2.778949216	4.446677864	4.745825753	0	72.99813628	13.62443715
167		OC01_02	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	25	67.27138162	0		3.18232514			0.018547238		3.88738364				0	0	11.14862487	0	3.897141293	8.005384356	2.589215524
168		OC01_02	PM2.5	0.446979788	0.754395348	2.79790429	1.393695698	24	80.75149655	0		16.94674492			0.031263623		0.055626826				0.199257955	0.213805609	0.240688003	0.273563596	0.333615905	0.418563001	0.535369106
173		OC01_02	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	9	15.84046185	0		7.044795156			5.288114771		67.000705				0.689946627	0.457908073	0.509314192	0.572227826	0.68442123	0.845315214	1.066800114
176		OC01_02	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	13	14.72673714	0		0			0.028523948		0.043172648				0	0	47.73005545	37.47151196	0	0	0
175		OC01_02	PM2.5	0.893959575	1.066876133	4.21937924	1.584781449	44	25.36830902	21.17183954		0.855012517			0		0.008099344				2.095247619	3.886609524	24.82433766	8.485585451	6.976184994	3.211064637	3.117723577
180		OC01_02	PM10	9.833555328	3.53842783	15.67354145	1.98798839	190	50.69566965	2.659854107		3.068602085			0.908684637		0.190210948				8.634460717	0	0	0	0	6.193427369	27.64909565
181		OC01_02	PM2.5	1.676174204	1.46088031	4.776321387	1.083073842	41	18.27652007	0		10.90632901			3.222538531		2.816552855				44.11053658	17.90836453	0	2.759154886	0	0	0
182		OC01_02	PM2.5	0.782214628	0.997971241	3.246096719	1.071981064	17	6.281714141	0		2.355086245			0		0.010686633				0	0	24.74517077	16.18990451	6.193541363	35.18197834	9.041919559
184		OC01_02	PM10	5.922482186	2.746040517	8.841905299	1.050456544	182	43.88971925	0		6.889495254			0		4.625199735				31.71149194	4.929706454	0	7.954393327	0	0	0
183		OC01_02	PM2.5	2.011409044	1.600314199	5.224513816	1.079894928	78	81.81555867	0		11.24453992			0		6.296683848				0.086779788	0.059209799	0.066625263	0.075639709	0.092086167	0.115402846	0.147477409
186		OC01_02	PM2.5	0.670469681	0.923941834	3.322994383	1.310600129	28	17.94021726	0		0			0.010923976		0				0	0	42.88663268	27.26133168	5.423660949	0	6.477238983
188		OC01_02	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	10	0	0		0.636431156			0.01294969		0				7.693178207	27.30282247	27.20706165	29.88295555	5.125883222	0	2.138707973
