Id	Area	Field	Class	Area (?m²)	ECD (?m)	Perimeter (?m)	Shape	Count	O Wt%	F Wt%	Na Wt%	Mg Wt%	Al Wt%	Si Wt%	Cl Wt%	K Wt%	Ca Wt%	Ti Wt%	Fe Wt%	Br Wt%	Rb Wt%	La Wt%	Ce Wt%	Pr Wt%	Nd Wt%	Sm Wt%	Gd Wt%	Dy Wt%	W Wt%
204		OC02_03	PM2.5	0.446979788	0.754395348	2.426609525	1.048339735	27	45.84918618	0			18.92640293		0		9.425111115					0	0	0	0	0.893881544	24.90542084	0	
202		OC02_03	PM2.5	3.687583248	2.166835669	7.945520442	1.362363505	197	45.35286427	15.00941515			18.71282458		0		0.528668426					0	15.88959098	4.506634548	0	0	0	0	
203		OC02_03	PM10	28.04798167	5.975935024	33.26179588	3.138917557	1106	53.62894535	4.596121609			6.069934741	28.13711762	0.694979588		0			5.471159145		0	0	0	0	0	0	1.401758008	
209		OC02_03	PM2.5	0.446979788	0.754395348	2.164064479	0.83376305	21	20.81833929	53.34203243			0.588753959		0		2.439346351					3.39227058	10.63694209	0.597815774	0	0	8.184503764	0	
210		OC02_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	25	0	31.37289584			31.71317577		0.083952647		34.45389569					0.333532086	0.222568028	0.248706155	0.280598388	0.338010117	0.419942942	0.532729551	
207		OC02_03	PM2.5	3.799328195	2.199421492	7.651123341	1.226122132	145	51.72029138	0			0.525155989	39.85340297	0.358327525		1.796906255					0	0	0	0.446518045	5.299400911	0	0	
211		OC02_03	PM10	50.73220589	8.037054855	43.74267557	3.001352996	1896	42.60854721	6.102078408		4.546874389	8.728253841	14.0959233	0.116996758		0		20.06188929			0	0	1.00610368	0.39122249	2.048654109	0.293468498	0	
212		OC02_03	PM10	21.34328486	5.21297557	22.24263255	1.844595946	912	43.04304421	6.106895208			10.43023467	26.00836158	0	10.60976684	0					0	0	1.931660995	1.564174518	0.305861258	0	0	
213		OC02_03	PM10	8.157381124	3.22277834	11.00596978	1.181669468	305	30.66875637	8.73087123			1.800040901		2.604870312		0		41.80960357			5.952610821	6.375965476	0	0	0	2.057277411	0	
215		OC02_03	PM2.5	1.899664097	1.555225852	5.224513816	1.143418159	105	19.70996112	0			4.054079577	57.97748566	0		0					12.17992678	4.826233163	0	1.25230886	0	0	0	
216		OC02_03	PM10	53.74931946	8.27259083	30.89889047	1.413523183	2070	42.98156798	0.534813385	6.75432682		11.16880253	32.01971948	0		0					0	0	0	0	0	4.109593481	2.431169339	
214		OC02_03	PM10	20.0023455	5.046560935	17.12686845	1.166984628	734	50.74003935	4.648674279			16.28834009	21.51166201	0.355358003		1.874229126					0	0	0.098350469	0	0	1.068840642	3.414497524	
218		OC02_03	PM2.5	1.229194416	1.251023157	4.590674005	1.364339536	74	57.25448132	9.706851095			12.73502409		0		0					1.068374142	0	1.753688604	7.733430713	4.18645516	0	5.561693385	
223		OC02_03	PM2.5	0.335234841	0.653325536	1.978417097	0.929130466	36	26.2506038	34.8611474			2.818612009		0		11.33249477					0	0	0	0.185695174	0.224446971	24.32700247	0	
219		OC02_03	PM10	31.17684019	6.300443302	40.38782913	4.163504703	1068	57.86226988	0.602576369			1.488576178		0		31.37976527					0	0	0	0	0	7.994811237	0.672003953	
222		OC02_03	PM2.5	0.893959575	1.066876133	3.246096719	0.937983431	43	26.02404654	14.746961			1.147032063		0		0.910829753					6.242115796	15.61403424	2.696442045	13.18721622	0	19.43131685	0	
224		OC02_03	PM2.5	0.335234841	0.653325536	2.164064479	1.111684066	33	69.0398097	0			20.97491175		6.944862008		0.075654656					0.268032961	0.287214713	0.322944089	0.366647728	0.446318509	0.559192663	0.714406697	
226		OC02_03	PM2.5	0.223489894	0.533438066	1.530224668	0.83376305	20	26.00591481	0			2.121290751		0.01109447		2.685063891					1.522918046	0.927182566	0	0	52.94203162	13.78450096	0	
225		OC02_03	PM2.5	4.469797876	2.385607556	7.836770723	1.093393614	195	30.92812598	0			0		0		2.356822044		58.59258771			0	0	0	0	0	6.825973094	1.296489034	
227		OC02_03	PM10	35.75838301	6.747517121	22.24263255	1.100993205	832	57.84557462	5.943832546			1.146560721		0.719671044		32.70602822					0	0	0	0	0	1.638343371	0	
228		OC02_03	PM10	7.486911443	3.087496027	10.37212997	1.143466221	230	42.09786355	6.894542277			0.100699544	42.56871641	0		1.558430307					0	1.121941023	1.833462901	1.477720682	2.346610464	0	0	
230		OC02_03	PM2.5	0.670469681	0.923941834	2.79790429	0.929130466	46	32.81260431	31.12001717			21.55941278		12.26246431		0					0	0	2.245504595	0	0	0	0	
																													
																													
																													
																													
